index,OrderID,Date,Status,Fulfilment,Category,CourierStatus,Qty,Amount,shipstate,shippostalcode,B2B
0,405-8078784-5731545,4/30/2022,Cancelled,Merchant,Set,Cancelled,0,647.62,MAHARASHTRA,400081,FALSE
1,171-9198151-1101146,4/30/2022,Shipped - Delivered to Buyer,Merchant,kurta,Shipped,1,406,KARNATAKA,560085,FALSE
2,404-0687676-7273146,4/30/2022,Shipped,Amazon,kurta,Shipped,1,329,MAHARASHTRA,410210,TRUE
3,403-9615377-8133951,4/30/2022,Cancelled,Merchant,Western Dress,Cancelled,0,753.33,PUDUCHERRY,605008,FALSE
4,407-1069790-7240320,4/30/2022,Shipped,Amazon,Top,Shipped,1,574,TAMIL NADU,600073,FALSE
5,404-1490984-4578765,4/30/2022,Shipped,Amazon,Set,Shipped,1,824,UTTAR PRADESH,201102,FALSE
6,408-5748499-6859555,4/30/2022,Shipped,Amazon,Set,Shipped,1,653,CHANDIGARH,160036,FALSE
7,406-7807733-3785945,4/30/2022,Shipped - Delivered to Buyer,Merchant,kurta,Shipped,1,399,TELANGANA,500032,FALSE
8,407-5443024-5233168,4/30/2022,Cancelled,Amazon,Set,Cancelled,0,400,TELANGANA,500008,FALSE
9,402-4393761-0311520,4/30/2022,Shipped,Amazon,kurta,Shipped,1,363,TAMIL NADU,600041,FALSE
10,407-5633625-6970741,4/30/2022,Shipped,Amazon,kurta,Shipped,1,685,TAMIL NADU,600073,FALSE
11,171-4638481-6326716,4/30/2022,Shipped,Amazon,kurta,Shipped,1,364,UTTAR PRADESH,201303,FALSE
12,405-5513694-8146768,4/30/2022,Shipped - Delivered to Buyer,Merchant,kurta,Shipped,1,399,MAHARASHTRA,444606,FALSE
13,408-7955685-3083534,4/30/2022,Shipped,Amazon,Set,Shipped,1,657,MAHARASHTRA,400053,FALSE
14,408-1298370-1920302,4/30/2022,Shipped - Delivered to Buyer,Merchant,Set,Shipped,1,771,MAHARASHTRA,400053,FALSE
15,403-4965581-9520319,4/30/2022,Shipped - Delivered to Buyer,Merchant,kurta,Shipped,1,544,ANDHRA PRADESH,515801,FALSE
16,406-9379318-6555504,4/30/2022,Shipped,Amazon,kurta,Shipped,1,329,RAJASTHAN,302020,FALSE
17,405-9013803-8009918,4/30/2022,Shipped,Amazon,kurta,Shipped,1,399,DELHI,110074,FALSE
18,402-4030358-5835511,4/30/2022,Shipped - Delivered to Buyer,Merchant,kurta,Shipped,1,458,HARYANA,122004,FALSE
19,405-5957858-1051546,4/30/2022,Shipped,Amazon,Set,Shipped,1,886,KARNATAKA,560017,FALSE
20,405-0607769-0716360,4/30/2022,Shipped,Amazon,kurta,Shipped,1,517,TAMIL NADU,620018,FALSE
21,404-8494550-5860325,4/30/2022,Shipped,Amazon,Set,Shipped,1,666,KARNATAKA,560040,FALSE
22,171-1305077-2813934,4/30/2022,Shipped,Amazon,kurta,Shipped,1,376,TELANGANA,500072,FALSE
23,404-6019946-2909948,4/30/2022,Cancelled,Merchant,Set,,0,570.48,MAHARASHTRA,411044,FALSE
24,402-3384087-4005164,4/30/2022,Shipped,Amazon,kurta,Shipped,1,499,ASSAM,784001,FALSE
25,405-8191138-5176316,4/30/2022,Shipped - Delivered to Buyer,Merchant,Set,Shipped,1,582,JHARKHAND,834002,FALSE
26,403-9230474-9657916,4/30/2022,Shipped - Delivered to Buyer,Merchant,kurta,Shipped,1,299,CHHATTISGARH,495001,FALSE
27,408-3484251-6901959,4/30/2022,Shipped,Amazon,kurta,Shipped,1,459,MAHARASHTRA,411052,FALSE
28,405-7755803-4729935,4/30/2022,Shipped,Amazon,kurta,Shipped,1,399,KARNATAKA,560037,FALSE
29,404-5933402-8801952,4/30/2022,Cancelled,Merchant,kurta,,0,480,ASSAM,781003,FALSE
30,171-9040274-9291563,4/30/2022,Shipped,Amazon,Western Dress,Shipped,1,791,TAMIL NADU,613704,FALSE
31,403-7056319-0979561,4/30/2022,Shipped,Amazon,kurta,Shipped,1,499,UTTAR PRADESH,226010,FALSE
32,404-9632124-1107550,4/30/2022,Shipped - Delivered to Buyer,Merchant,Set,Shipped,1,1233,ANDHRA PRADESH,530016,FALSE
33,402-1465437-0579556,4/30/2022,Shipped - Delivered to Buyer,Merchant,kurta,Shipped,1,517,ODISHA,764001,FALSE
34,404-7774085-3780319,4/30/2022,Shipped,Amazon,kurta,Shipped,1,376,TELANGANA,500028,FALSE
35,402-2764952-1492318,4/30/2022,Shipped - Delivered to Buyer,Merchant,kurta,Shipped,1,499,UTTAR PRADESH,226016,FALSE
36,406-0272200-7784379,4/30/2022,Shipped,Amazon,Set,Shipped,1,666,TAMIL NADU,600033,FALSE
37,403-4367956-2849158,4/30/2022,Shipped,Amazon,kurta,Shipped,1,487,DELHI,110092,FALSE
38,403-4367956-2849158,4/30/2022,Shipped,Amazon,kurta,Shipped,1,368,DELHI,110092,FALSE
39,403-4242957-8599555,4/30/2022,Shipped,Amazon,kurta,Shipped,1,399,KERALA,695011,FALSE
40,408-7165704-5643524,4/30/2022,Shipped,Amazon,Ethnic Dress,Shipped,1,699,UTTAR PRADESH,201306,FALSE
